Row,MM,MSF,ALP1,2Q1,Q1,O1,NO1,K1,J1,OO1,UPS1,EPS2,MU2,N2,M2,L2,S2,ETA2,MO3,M3,MK3,SK3,MN4,M4,SN4,MS4,S4,2MK5,2SK5,2MN6,M6,2MS6,2SM6,3MK7,M8
False River,23702.4831839945,9426.2880653155,2345.88125337679,1004.51111761558,628.206994645182,246.451839297316,184.727041912025,146.858444268006,121.686529754268,96.9294085048567,77.0152805941255,61.856117129696,49.6698508498597,40.5599585507671,33.896738571654,27.9491797371492,23.4491772636474,19.1646412155405,16.1721861925952,13.3595664974413,11.6371412773303,9.75852335405541,8.35520361170233,6.88070549391435,5.71252456102429,4.72307023963654,3.87284545117887,3.17021711241238,2.54968903432259,1.97124023322085,1.4910906285825,1.10136498428345,0.755553025779326,0.470847642933729,0.225338596912754
SF Bay,121322.250732923,39027.1285317378,11891.281672718,7109.26833976349,5162.15563384338,445.328975554571,320.069205226792,237.880406934042,191.915001817843,143.623614278998,100.559762279343,72.0925038889284,54.3184925442622,42.8843100680658,32.80917764142,24.3465954769669,17.4076579264631,13.3866843830982,10.4469263544948,8.46152220602862,7.08824180392745,5.84150901288259,5.08906632294236,4.38849941119742,3.68589926785261,3.13405664241714,2.65546225504718,2.21048609463125,1.83654253587229,1.5108554656821,1.20585985826671,0.917465005054143,0.66452035175764,0.440606316077621,0.226355093575729
Astoria,139367.026290701,24557.1892816499,9525.57256646559,7276.63774066416,4702.34470954745,406.338013928161,253.95886932128,196.669072096367,148.997488147309,117.317624073146,86.3736145022195,64.7331277037755,49.2230735433343,37.2505433245641,30.6126077165793,25.3870449962238,21.73450135004,17.8177185518056,15.2170370329605,13.0613031221023,11.018308754338,9.30658933871326,7.68940713826662,6.5935520566946,5.64461261730453,4.51797922008107,3.77571316621583,3.1009302086864,2.45247592486941,1.83412058297888,1.37324648517765,0.979669603247215,0.633008200893366,0.403439398922552,0.210210044273266
Vancouver,2665.07991768983,607.974763895705,265.186587609776,179.112542666076,127.753426852482,92.0313648539013,66.7150967952289,49.315255853456,40.8023492343329,31.337070291498,24.9339971084457,21.428164796237,17.8163095402287,14.8958010624279,12.0621771104864,10.4319067931624,8.83225334850371,7.40007957889552,6.44062372708377,5.22016853150174,4.38170102085978,3.58447682623843,2.94922906433725,2.36520290962473,1.91105114838919,1.55295000825938,1.21800855826473,0.940096007043974,0.720493728707157,0.508233938087894,0.351140225030676,0.21782859230695,0.133939332121846,0.0729494165200303,0.0321268905288713
